combined_id,ugc_type,wfo,valid_from_date,valid_to_date,state,fips,name,lat,lon,timezone,display_name,short_ugc,region
"AK-C224.1","County","AFG","","","AK","224","UPR TANANA VLY FORTYMILE","","","AKST","(AK-C224) UPR TANANA VLY FORTYMILE","AK-C224","AR"
"AK-C225.1","County","AFG","","","AK","225","DENALI","","","AKST","(AK-C225) DENALI","AK-C225","AR"
"AK-C226.1","County","AFG","","","AK","226","NE. SLOPES OF THE ERN AK RNG","","","AKST","(AK-C226) NE. SLOPES OF THE ERN AK RNG","AK-C226","AR"
"AK-C227.1","County","AFG","5/6/2009 3:00:00 AM","","AK","227","UPPER KUSKOKWIM VALLEY","","","AKST","(AK-C227) UPPER KUSKOKWIM VALLEY","AK-C227","AR"
"AK-Z017.1","Zone","AJK","","","AK","17","CAPE FAIRWEATHER TO CAPE SUCKLING COASTAL AREA","","","AKST","(AK-Z017) CAPE FAIRWEATHER TO CAPE SUCKLING COASTAL AREA","AK-Z017","AR"
"AK-Z018.1","Zone","AJK","","","AK","18","TAIYA INLET AND KLONDIKE HIGHWAY","","","AKST","(AK-Z018) TAIYA INLET AND KLONDIKE HIGHWAY","AK-Z018","AR"
"AK-Z019.1","Zone","AJK","","","AK","19","HAINES BOROUGH AND LYNN CANAL","","","AKST","(AK-Z019) HAINES BOROUGH AND LYNN CANAL","AK-Z019","AR"
"AK-Z020.1","Zone","AJK","","","AK","20","GLACIER BAY","","","AKST","(AK-Z020) GLACIER BAY","AK-Z020","AR"
"AK-Z021.1","Zone","AJK","","","AK","21","EASTERN CHICHAGOF ISLAND","","","AKST","(AK-Z021) EASTERN CHICHAGOF ISLAND","AK-Z021","AR"
"AK-Z022.1","Zone","AJK","","","AK","22","SALISBURY SOUND TO CAPE FAIRWEATHER COASTAL AREA","","","AKST","(AK-Z022) SALISBURY SOUND TO CAPE FAIRWEATHER COASTAL AREA","AK-Z022","AR"
"AK-Z023.1","Zone","AJK","","","AK","23","CAPE DECISION TO SALISBURY SOUND COASTAL AREA","","","AKST","(AK-Z023) CAPE DECISION TO SALISBURY SOUND COASTAL AREA","AK-Z023","AR"
"AK-Z024.1","Zone","AJK","","","AK","24","EASTERN BARANOF ISLAND AND SOUTHERN ADMIRALTY ISLAND","0","0","AKST","(AK-Z024) EASTERN BARANOF ISLAND AND SOUTHERN ADMIRALTY ISLAND","AK-Z024","AR"
"AK-Z025.1","Zone","AJK","","","AK","25","JUNEAU BOROUGH AND NORTHERN ADMIRALTY ISLAND","","","AKST","(AK-Z025) JUNEAU BOROUGH AND NORTHERN ADMIRALTY ISLAND","AK-Z025","AR"
"AK-Z026.1","Zone","AJK","","","AK","26","INNER CHANNELS FROM KUPREANOF ISLAND TO ETOLIN ISLAND","","","AKST","(AK-Z026) INNER CHANNELS FROM KUPREANOF ISLAND TO ETOLIN ISLAND","AK-Z026","AR"
"AK-Z027.1","Zone","AJK","","","AK","27","DIXON ENTRANCE TO CAPE DECISION COASTAL AREA","","","AKST","(AK-Z027) DIXON ENTRANCE TO CAPE DECISION COASTAL AREA","AK-Z027","AR"
"AK-Z028.1","Zone","AJK","","","AK","28","SOUTHERN INNER CHANNELS","","","AKST","(AK-Z028) SOUTHERN INNER CHANNELS","AK-Z028","AR"
"AK-Z029.1","Zone","AJK","","","AK","29","MISTY FJORDS","","","AKST","(AK-Z029) MISTY FJORDS","AK-Z029","AR"
"AK-Z101.1","Zone","AFC","","","AK","101","ANCHORAGE MUNI TO BIRD CREEK","","","AKST","(AK-Z101) ANCHORAGE MUNI TO BIRD CREEK","AK-Z101","AR"
"AK-Z111.1","Zone","AFC","","","AK","111","MATANUSKA VALLEY","","","AKST","(AK-Z111) MATANUSKA VALLEY","AK-Z111","AR"
"AK-Z121.1","Zone","AFC","","","AK","121","KENAI PENINSULA","","","AKST","(AK-Z121) KENAI PENINSULA","AK-Z121","AR"
"AK-Z125.1","Zone","AFC","","","AK","125","WRN P.W. SND & KENAI MTNS","","","AKST","(AK-Z125) WRN P.W. SND & KENAI MTNS","AK-Z125","AR"
"AK-Z131.1","Zone","AFC","","","AK","131","NERN P.W. SND","","","AKST","(AK-Z131) NERN P.W. SND","AK-Z131","AR"
"AK-Z135.1","Zone","AFC","","","AK","135","SERN P.W. SND","","","AKST","(AK-Z135) SERN P.W. SND","AK-Z135","AR"
"AK-Z141.1","Zone","AFC","","","AK","141","COPPER RIVER BASIN","","","AKST","(AK-Z141) COPPER RIVER BASIN","AK-Z141","AR"
"AK-Z145.1","Zone","AFC","","","AK","145","SUSITNA VALLEY","","","AKST","(AK-Z145) SUSITNA VALLEY","AK-Z145","AR"
"AK-Z151.1","Zone","AFC","","5/6/2009 2:59:00 AM","AK","151","KUSKOKWIM VALLEY","","","AKST","(AK-Z151) KUSKOKWIM VALLEY","AK-Z151","AR"
"AK-Z152.1","Zone","AFC","5/6/2009 3:00:00 AM","","AK","152","LOWER KUSKOKWIM VALLEY","","","AKST","(AK-Z152) LOWER KUSKOKWIM VALLEY","AK-Z152","AR"
"AK-Z155.1","Zone","AFC","","","AK","155","KUSKOKWIM DELTA","","","AKST","(AK-Z155) KUSKOKWIM DELTA","AK-Z155","AR"
"AK-Z161.1","Zone","AFC","","","AK","161","BRISTOL BAY","","","AKST","(AK-Z161) BRISTOL BAY","AK-Z161","AR"
"AK-Z171.1","Zone","AFC","","","AK","171","KODIAK PENINSULA","","","AKST","(AK-Z171) KODIAK PENINSULA","AK-Z171","AR"
"AK-Z181.1","Zone","AFC","","","AK","181","ALASKA PENINSULA","","","AKST","(AK-Z181) ALASKA PENINSULA","AK-Z181","AR"
"AK-Z185.1","Zone","AFC","","","AK","185","EASTERN ALEUTIANS","","","AKST","(AK-Z185) EASTERN ALEUTIANS","AK-Z185","AR"
"AK-Z187.1","Zone","AFC","","","AK","187","CENTRAL ALEUTIANS","","","AKST","(AK-Z187) CENTRAL ALEUTIANS","AK-Z187","AR"
"AK-Z191.1","Zone","AFC","","","AK","191","WESTERN ALEUTIANS","","","AKST","(AK-Z191) WESTERN ALEUTIANS","AK-Z191","AR"
"AK-Z195.1","Zone","AFC","","","AK","195","PRIBILOF ISLANDS","","","AKST","(AK-Z195) PRIBILOF ISLANDS","AK-Z195","AR"
"AK-Z201.1","Zone","AFG","","","AK","201","WESTERN ARCTIC COAST","","","AKST","(AK-Z201) WESTERN ARCTIC COAST","AK-Z201","AR"
"AK-Z202.1","Zone","AFG","","","AK","202","NORTHERN ARCTIC COAST","","","AKST","(AK-Z202) NORTHERN ARCTIC COAST","AK-Z202","AR"
"AK-Z203.1","Zone","AFG","","","AK","203","CENTRAL BEAUFORT SEA COAST","","","AKST","(AK-Z203) CENTRAL BEAUFORT SEA COAST","AK-Z203","AR"
"AK-Z204.1","Zone","AFG","","","AK","204","EASTERN BEAUFORT SEA COAST","","","AKST","(AK-Z204) EASTERN BEAUFORT SEA COAST","AK-Z204","AR"
"AK-Z205.1","Zone","AFG","","","AK","205","N. BROOKS RNG COLVILLE RVR W","","","AKST","(AK-Z205) N. BROOKS RNG COLVILLE RVR W","AK-Z205","AR"
"AK-Z206.1","Zone","AFG","","","AK","206","N. BROOKS RNG E OF COLVILLE R","","","AKST","(AK-Z206) N. BROOKS RNG E OF COLVILLE R","AK-Z206","AR"
"AK-Z207.1","Zone","AFG","","","AK","207","CHUKCHI SEA COAST","","","AKST","(AK-Z207) CHUKCHI SEA COAST","AK-Z207","AR"
"AK-Z208.1","Zone","AFG","","","AK","208","LOWER KOBUK & NOATAK VALLEYS","","","AKST","(AK-Z208) LOWER KOBUK & NOATAK VALLEYS","AK-Z208","AR"
"AK-Z209.1","Zone","AFG","","","AK","209","BALDWIN PEN. & SELAWIK VALLEY","","","AKST","(AK-Z209) BALDWIN PEN. & SELAWIK VALLEY","AK-Z209","AR"
"AK-Z210.1","Zone","AFG","","","AK","210","NRN & INTR. SEWARD PENINSULA","","","AKST","(AK-Z210) NRN & INTR. SEWARD PENINSULA","AK-Z210","AR"
"AK-Z211.1","Zone","AFG","","","AK","211","SRN SEWARD PENINSULA COAST","","","AKST","(AK-Z211) SRN SEWARD PENINSULA COAST","AK-Z211","AR"
"AK-Z212.1","Zone","AFG","","","AK","212","ERN NORTON SOUND NULATO HILLS","","","AKST","(AK-Z212) ERN NORTON SOUND NULATO HILLS","AK-Z212","AR"
"AK-Z213.1","Zone","AFG","","","AK","213","ST LAWRENCE IS. BERING STRAIT","","","AKST","(AK-Z213) ST LAWRENCE IS. BERING STRAIT","AK-Z213","AR"
"AK-Z214.1","Zone","AFG","","","AK","214","YUKON DELTA","","","AKST","(AK-Z214) YUKON DELTA","AK-Z214","AR"
"AK-Z215.1","Zone","AFG","","","AK","215","LOWER YUKON VALLEY","","","AKST","(AK-Z215) LOWER YUKON VALLEY","AK-Z215","AR"
"AK-Z216.1","Zone","AFG","","","AK","216","LOWER KOYUKUK MIDDLE YKN VLYS","","","AKST","(AK-Z216) LOWER KOYUKUK MIDDLE YKN VLYS","AK-Z216","AR"
"AK-Z217.1","Zone","AFG","","","AK","217","UPPER KOBUK AND NOATAK VLYS","","","AKST","(AK-Z217) UPPER KOBUK AND NOATAK VLYS","AK-Z217","AR"
"AK-Z218.1","Zone","AFG","","","AK","218","S. SLOPES OF ERN BROOKS RANGE","","","AKST","(AK-Z218) S. SLOPES OF ERN BROOKS RANGE","AK-Z218","AR"
"AK-Z219.1","Zone","AFG","","","AK","219","UPPER KOYUKUK VALLEY","","","AKST","(AK-Z219) UPPER KOYUKUK VALLEY","AK-Z219","AR"
"AK-Z220.1","Zone","AFG","","","AK","220","YUKON FLATS NEARBY UPLANDS","","","AKST","(AK-Z220) YUKON FLATS NEARBY UPLANDS","AK-Z220","AR"
"AK-Z221.1","Zone","AFG","","","AK","221","WRN TANANA VLY WRN YUKON VLY","","","AKST","(AK-Z221) WRN TANANA VLY WRN YUKON VLY","AK-Z221","AR"
"AK-Z222.1","Zone","AFG","","","AK","222","MIDDLE TANANA VALLEY","","","AKST","(AK-Z222) MIDDLE TANANA VALLEY","AK-Z222","AR"
"AK-Z223.1","Zone","AFG","","","AK","223","DELTANA AND TANANA","","","AKST","(AK-Z223) DELTANA AND TANANA","AK-Z223","AR"
"AK-Z224.1","Zone","AFG","","","AK","224","UPR TANANA VLY FORTYMILE","","","AKST","(AK-Z224) UPR TANANA VLY FORTYMILE","AK-Z224","AR"
"AK-Z225.1","Zone","AFG","","","AK","225","DENALI","","","AKST","(AK-Z225) DENALI","AK-Z225","AR"
"AK-Z226.1","Zone","AFG","","","AK","226","NE. SLOPES OF THE ERN AK RNG","","","AKST","(AK-Z226) NE. SLOPES OF THE ERN AK RNG","AK-Z226","AR"
"AK-Z227.1","Zone","AFG","5/6/2009 3:00:00 AM","","AK","227","UPPER KUSKOKWIM VALLEY","","","AKST","(AK-Z227) UPPER KUSKOKWIM VALLEY","AK-Z227","AR"
"AL-C001.1","County","BMX","","","AL","1","AUTAUGA","3231","8638","CST","(AL-C001) AUTAUGA","AL-C001","SR"
"AL-C003.1","County","MOB","","","AL","3","BALDWIN","3047","8748","CST","(AL-C003) BALDWIN","AL-C003","SR"
"AL-C005.1","County","BMX","","","AL","5","BARBOUR","3154","8524","CST","(AL-C005) BARBOUR","AL-C005","SR"
"AL-C007.1","County","BMX","","","AL","7","BIBB","3300","8706","CST","(AL-C007) BIBB","AL-C007","SR"
"AL-C009.1","County","BMX","","","AL","9","BLOUNT","3400","8634","CST","(AL-C009) BLOUNT","AL-C009","SR"
"AL-C011.1","County","BMX","","","AL","11","BULLOCK","3204","8542","CST","(AL-C011) BULLOCK","AL-C011","SR"
"AL-C013.1","County","MOB","","","AL","13","BUTLER","3143","8643","CST","(AL-C013) BUTLER","AL-C013","SR"
"AL-C015.1","County","BMX","","","AL","15","CALHOUN","3348","8549","CST","(AL-C015) CALHOUN","AL-C015","SR"
"AL-C017.1","County","BMX","","","AL","17","CHAMBERS","3255","8518","CST","(AL-C017) CHAMBERS","AL-C017","SR"
"AL-C019.1","County","BMX","","","AL","19","CHEROKEE","3409","8537","CST","(AL-C019) CHEROKEE","AL-C019","SR"
"AL-C021.1","County","BMX","","","AL","21","CHILTON","3252","8644","CST","(AL-C021) CHILTON","AL-C021","SR"
"AL-C023.1","County","MOB","","","AL","23","CHOCTAW","3202","8822","CST","(AL-C023) CHOCTAW","AL-C023","SR"
"AL-C025.1","County","MOB","","","AL","25","CLARKE","3138","8749","CST","(AL-C025) CLARKE","AL-C025","SR"
"AL-C027.1","County","BMX","","","AL","27","CLAY","3318","8555","CST","(AL-C027) CLAY","AL-C027","SR"
"AL-C029.1","County","BMX","","","AL","29","CLEBURNE","3343","8534","CST","(AL-C029) CLEBURNE","AL-C029","SR"
"AL-C031.1","County","TAE","","","AL","31","COFFEE","3123","8559","CST","(AL-C031) COFFEE","AL-C031","SR"
"AL-C033.1","County","HUN","","","AL","33","COLBERT","3441","8748","CST","(AL-C033) COLBERT","AL-C033","SR"
"AL-C035.1","County","MOB","","","AL","35","CONECUH","3128","8703","CST","(AL-C035) CONECUH","AL-C035","SR"
"AL-C037.1","County","BMX","","","AL","37","COOSA","3255","8615","CST","(AL-C037) COOSA","AL-C037","SR"
"AL-C039.1","County","MOB","","","AL","39","COVINGTON","3115","8628","CST","(AL-C039) COVINGTON","AL-C039","SR"
"AL-C041.1","County","MOB","","","AL","41","CRENSHAW","3144","8621","CST","(AL-C041) CRENSHAW","AL-C041","SR"
"AL-C043.1","County","HUN","","","AL","43","CULLMAN","3409","8652","CST","(AL-C043) CULLMAN","AL-C043","SR"
"AL-C045.1","County","TAE","","","AL","45","DALE","3123","8538","CST","(AL-C045) DALE","AL-C045","SR"
"AL-C047.1","County","BMX","","","AL","47","DALLAS","3220","8708","CST","(AL-C047) DALLAS","AL-C047","SR"
"AL-C049.1","County","HUN","","","AL","49","DEKALB","3727","8548","CST","(AL-C049) DEKALB","AL-C049","SR"
"AL-C051.1","County","BMX","","","AL","51","ELMORE","3233","8610","CST","(AL-C051) ELMORE","AL-C051","SR"
"AL-C053.1","County","MOB","","","AL","53","ESCAMBIA","3108","8709","CST","(AL-C053) ESCAMBIA","AL-C053","SR"
"AL-C055.1","County","BMX","","","AL","55","ETOWAH","3402","8600","CST","(AL-C055) ETOWAH","AL-C055","SR"
"AL-C057.1","County","BMX","","","AL","57","FAYETTE","3344","8745","CST","(AL-C057) FAYETTE","AL-C057","SR"
"AL-C059.1","County","HUN","","","AL","59","FRANKLIN","3426","8752","CST","(AL-C059) FRANKLIN","AL-C059","SR"
"AL-C061.1","County","TAE","","","AL","61","GENEVA","3105","8553","CST","(AL-C061) GENEVA","AL-C061","SR"
"AL-C063.1","County","BMX","","","AL","63","GREENE","3252","8759","CST","(AL-C063) GREENE","AL-C063","SR"
"AL-C065.1","County","BMX","","","AL","65","HALE","3242","8741","CST","(AL-C065) HALE","AL-C065","SR"
"AL-C067.1","County","TAE","","","AL","67","HENRY","3132","8516","CST","(AL-C067) HENRY","AL-C067","SR"
"AL-C069.1","County","TAE","","","AL","69","HOUSTON","3108","8518","CST","(AL-C069) HOUSTON","AL-C069","SR"
"AL-C071.1","County","HUN","","","AL","71","JACKSON","3443","8558","CST","(AL-C071) JACKSON","AL-C071","SR"
"AL-C073.1","County","BMX","","","AL","73","JEFFERSON","3334","8753","CST","(AL-C073) JEFFERSON","AL-C073","SR"
"AL-C075.1","County","BMX","","","AL","75","LAMAR","3349","8606","CST","(AL-C075) LAMAR","AL-C075","SR"
"AL-C077.1","County","HUN","","","AL","77","LAUDERDALE","3454","8741","CST","(AL-C077) LAUDERDALE","AL-C077","SR"
"AL-C079.1","County","HUN","","","AL","79","LAWRENCE","3433","8719","CST","(AL-C079) LAWRENCE","AL-C079","SR"
"AL-C081.1","County","BMX","","","AL","81","LEE","3235","8521","CST","(AL-C081) LEE","AL-C081","SR"
"AL-C083.1","County","HUN","","","AL","83","LIMESTONE","3445","8701","CST","(AL-C083) LIMESTONE","AL-C083","SR"
"AL-C085.1","County","BMX","","","AL","85","LOWNDES","3210","8642","CST","(AL-C085) LOWNDES","AL-C085","SR"
"AL-C087.1","County","BMX","","","AL","87","MACON","3224","8545","CST","(AL-C087) MACON","AL-C087","SR"
"AL-C089.1","County","HUN","","","AL","89","MADISON","3443","8632","CST","(AL-C089) MADISON","AL-C089","SR"
"AL-C091.1","County","BMX","","","AL","91","MARENGO","3215","8740","CST","(AL-C091) MARENGO","AL-C091","SR"
"AL-C093.1","County","BMX","","","AL","93","MARION","3407","8753","CST","(AL-C093) MARION","AL-C093","SR"
"AL-C095.1","County","HUN","","","AL","95","MARSHALL","3421","8621","CST","(AL-C095) MARSHALL","AL-C095","SR"
"AL-C097.1","County","MOB","","","AL","97","MOBILE","3045","8812","CST","(AL-C097) MOBILE","AL-C097","SR"
"AL-C099.1","County","MOB","","","AL","99","MONROE","3133","8720","CST","(AL-C099) MONROE","AL-C099","SR"
"AL-C101.1","County","BMX","","","AL","101","MONTGOMERY","3212","8613","CST","(AL-C101) MONTGOMERY","AL-C101","SR"
"AL-C103.1","County","HUN","","","AL","103","MORGAN","3429","8651","CST","(AL-C103) MORGAN","AL-C103","SR"
"AL-C105.1","County","BMX","","","AL","105","PERRY","3238","8718","CST","(AL-C105) PERRY","AL-C105","SR"
"AL-C107.1","County","BMX","","","AL","107","PICKENS","3315","8804","CST","(AL-C107) PICKENS","AL-C107","SR"
"AL-C109.1","County","BMX","","","AL","109","PIKE","3150","8556","CST","(AL-C109) PIKE","AL-C109","SR"
"AL-C111.1","County","BMX","","","AL","111","RANDOLPH","3319","8528","CST","(AL-C111) RANDOLPH","AL-C111","SR"
"AL-C113.1","County","BMX","","","AL","113","RUSSELL","3215","8512","CST","(AL-C113) RUSSELL","AL-C113","SR"
"AL-C115.1","County","BMX","","","AL","115","ST. CLAIR","3343","8619","CST","(AL-C115) ST. CLAIR","AL-C115","SR"
"AL-C117.1","County","BMX","","","AL","117","SHELBY","3315","8641","CST","(AL-C117) SHELBY","AL-C117","SR"
"AL-C119.1","County","BMX","","","AL","119","SUMTER","3236","8811","CST","(AL-C119) SUMTER","AL-C119","SR"
"AL-C121.1","County","BMX","","","AL","121","TALLADEGA","3323","8609","CST","(AL-C121) TALLADEGA","AL-C121","SR"
"AL-C123.1","County","BMX","","","AL","123","TALLAPOOSA","3248","8551","CST","(AL-C123) TALLAPOOSA","AL-C123","SR"
"AL-C125.1","County","BMX","","","AL","125","TUSCALOOSA","3318","8732","CST","(AL-C125) TUSCALOOSA","AL-C125","SR"
"AL-C127.1","County","BMX","","","AL","127","WALKER","3349","8715","CST","(AL-C127) WALKER","AL-C127","SR"
"AL-C129.1","County","MOB","","","AL","129","WASHINGTON","3125","8813","CST","(AL-C129) WASHINGTON","AL-C129","SR"
"AL-C131.1","County","MOB","","","AL","131","WILCOX","3203","8747","CST","(AL-C131) WILCOX","AL-C131","SR"
"AL-C133.1","County","BMX","","","AL","133","WINSTON","3408","8723","CST","(AL-C133) WINSTON","AL-C133","SR"
"AL-Z001.1","Zone","HUN","","","AL","1","LAUDERDALE","","","CST","(AL-Z001) LAUDERDALE","AL-Z001","SR"
"AL-Z002.1","Zone","HUN","","","AL","2","COLBERT","","","CST","(AL-Z002) COLBERT","AL-Z002","SR"
"AL-Z003.1","Zone","HUN","","","AL","3","FRANKLIN","","","CST","(AL-Z003) FRANKLIN","AL-Z003","SR"
